locus_tag	ftype	length_bp	gene	EC_number	COG	product
GPFNFPML_00001	CDS	117				hypothetical protein
GPFNFPML_00002	CDS	2808				hypothetical protein
GPFNFPML_00003	CDS	174				Antitoxin VapB25
GPFNFPML_00004	CDS	429		3.1.-.-		Ribonuclease VapC25
GPFNFPML_00005	CDS	921			COG3662	putative protein
GPFNFPML_00006	CDS	735				hypothetical protein
GPFNFPML_00007	CDS	582	fosB	2.5.1.-		Metallothiol transferase FosB
GPFNFPML_00008	CDS	621				hypothetical protein
GPFNFPML_00009	CDS	1134				hypothetical protein
GPFNFPML_00010	CDS	2196		1.3.99.-		Acyl-CoA dehydrogenase FadE34
GPFNFPML_00011	CDS	1683	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
GPFNFPML_00012	CDS	1194				hypothetical protein
GPFNFPML_00013	CDS	258				hypothetical protein
GPFNFPML_00014	CDS	1392	narK_1		COG2223	Nitrate/nitrite transporter NarK
GPFNFPML_00015	CDS	3630				hypothetical protein
GPFNFPML_00016	CDS	993				hypothetical protein
GPFNFPML_00017	CDS	654	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
GPFNFPML_00018	CDS	903	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
GPFNFPML_00019	CDS	546	aac	2.3.1.-		Aminoglycoside 2'-N-acetyltransferase
GPFNFPML_00020	CDS	1410	narK_2		COG2223	Nitrate/nitrite transporter NarK
GPFNFPML_00021	CDS	1146				hypothetical protein
GPFNFPML_00022	CDS	744				hypothetical protein
GPFNFPML_00023	CDS	456				hypothetical protein
GPFNFPML_00024	CDS	1671	PPE2		COG5651	putative PPE family protein PPE2
GPFNFPML_00025	CDS	1485	cobQ		COG1492	Cobyric acid synthase
GPFNFPML_00026	CDS	525	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
GPFNFPML_00027	CDS	357	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
GPFNFPML_00028	CDS	2511	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
GPFNFPML_00029	CDS	480				hypothetical protein
GPFNFPML_00030	CDS	294				putative protein
GPFNFPML_00031	CDS	822				hypothetical protein
GPFNFPML_00032	CDS	1941	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
